pozo_id,operador,area,ventana,mes,petroleo_bbl,gas_mm3,agua_bbl,petroleo_bbl_d
VM-004,YPF,Rincon La Ceniza,Petroleo volatil,2025-10,19585.0,5.917,11126.0,644.2
VM-004,YPF,Rincon La Ceniza,Petroleo volatil,2025-11,17925.0,5.415,4916.0,589.6
VM-004,YPF,Rincon La Ceniza,Petroleo volatil,2025-12,17011.0,5.139,3465.0,559.6
VM-004,YPF,Rincon La Ceniza,Petroleo volatil,2026-01,16518.0,4.99,11220.0,543.3
VM-004,YPF,Rincon La Ceniza,Petroleo volatil,2026-02,14458.0,4.368,7553.0,475.6
VM-004,YPF,Rincon La Ceniza,Petroleo volatil,2026-03,13895.0,4.198,10946.0,457.1
VM-004,YPF,Rincon La Ceniza,Petroleo volatil,2026-04,12230.0,3.695,4631.0,402.3
VM-004,YPF,Rincon La Ceniza,Petroleo volatil,2026-05,12211.0,3.689,8211.0,401.7
VM-004,YPF,Rincon La Ceniza,Petroleo volatil,2026-06,12129.0,3.664,5507.0,399.0
VM-004,YPF,Rincon La Ceniza,Petroleo volatil,2026-07,10425.0,3.149,6138.0,342.9
VM-004,YPF,Rincon La Ceniza,Petroleo volatil,2026-08,10541.0,3.184,2847.0,346.7
VM-005,Shell,La Amarga Chica,Petroleo negro,2024-06,34642.0,4.957,16176.0,1139.5
VM-005,Shell,La Amarga Chica,Petroleo negro,2024-07,29793.0,4.263,10770.0,980.0
VM-005,Shell,La Amarga Chica,Petroleo negro,2024-08,27972.0,4.003,9751.0,920.1
VM-005,Shell,La Amarga Chica,Petroleo negro,2024-09,25259.0,3.615,19327.0,830.9
VM-005,Shell,La Amarga Chica,Petroleo negro,2024-10,23681.0,3.389,8338.0,779.0
VM-005,Shell,La Amarga Chica,Petroleo negro,2024-11,22214.0,3.179,16669.0,730.7
VM-005,Shell,La Amarga Chica,Petroleo negro,2024-12,21826.0,3.123,13234.0,718.0
VM-005,Shell,La Amarga Chica,Petroleo negro,2025-01,20644.0,2.954,13501.0,679.1
VM-005,Shell,La Amarga Chica,Petroleo negro,2025-02,18952.0,2.712,8658.0,623.4
VM-005,Shell,La Amarga Chica,Petroleo negro,2025-03,16679.0,2.387,10662.0,548.7
VM-005,Shell,La Amarga Chica,Petroleo negro,2025-04,17008.0,2.434,13279.0,559.5
VM-005,Shell,La Amarga Chica,Petroleo negro,2025-05,15533.0,2.223,11278.0,511.0
VM-005,Shell,La Amarga Chica,Petroleo negro,2025-06,14643.0,2.095,11242.0,481.7
VM-005,Shell,La Amarga Chica,Petroleo negro,2025-07,15630.0,2.237,3568.0,514.2
VM-005,Shell,La Amarga Chica,Petroleo negro,2025-08,13698.0,1.96,10944.0,450.6
VM-005,Shell,La Amarga Chica,Petroleo negro,2025-09,14403.0,2.061,8676.0,473.8
VM-005,Shell,La Amarga Chica,Petroleo negro,2025-10,12365.0,1.769,2522.0,406.7
VM-005,Shell,La Amarga Chica,Petroleo negro,2025-11,12141.0,1.737,9308.0,399.4
VM-005,Shell,La Amarga Chica,Petroleo negro,2025-12,12686.0,1.815,5799.0,417.3
VM-005,Shell,La Amarga Chica,Petroleo negro,2026-01,12211.0,1.747,9053.0,401.7
VM-005,Shell,La Amarga Chica,Petroleo negro,2026-02,11099.0,1.588,8043.0,365.1
VM-005,Shell,La Amarga Chica,Petroleo negro,2026-03,10724.0,1.535,4260.0,352.8
VM-005,Shell,La Amarga Chica,Petroleo negro,2026-04,10079.0,1.442,2984.0,331.5
VM-005,Shell,La Amarga Chica,Petroleo negro,2026-05,10542.0,1.509,2260.0,346.8
VM-005,Shell,La Amarga Chica,Petroleo negro,2026-06,10253.0,1.467,3096.0,337.3
VM-005,Shell,La Amarga Chica,Petroleo negro,2026-07,10269.0,1.47,2842.0,337.8
VM-005,Shell,La Amarga Chica,Petroleo negro,2026-08,9277.0,1.328,3352.0,305.2
VM-006,Shell,Bajada del Palo,Petroleo negro,2024-12,23218.0,3.322,15906.0,763.7
VM-006,Shell,Bajada del Palo,Petroleo negro,2025-01,20540.0,2.939,13243.0,675.6
VM-006,Shell,Bajada del Palo,Petroleo negro,2025-02,17975.0,2.572,9455.0,591.3
VM-006,Shell,Bajada del Palo,Petroleo negro,2025-03,15399.0,2.204,4742.0,506.5
VM-006,Shell,Bajada del Palo,Petroleo negro,2025-04,15051.0,2.154,6705.0,495.1
VM-006,Shell,Bajada del Palo,Petroleo negro,2025-05,13433.0,1.922,3237.0,441.9
VM-006,Shell,Bajada del Palo,Petroleo negro,2025-06,11946.0,1.709,3109.0,393.0
VM-006,Shell,Bajada del Palo,Petroleo negro,2025-07,11126.0,1.592,7120.0,366.0
VM-006,Shell,Bajada del Palo,Petroleo negro,2025-08,10410.0,1.49,6343.0,342.4
VM-006,Shell,Bajada del Palo,Petroleo negro,2025-09,9499.0,1.359,4094.0,312.5
VM-006,Shell,Bajada del Palo,Petroleo negro,2025-10,9365.0,1.34,4733.0,308.0
VM-006,Shell,Bajada del Palo,Petroleo negro,2025-11,8660.0,1.239,5362.0,284.9
VM-006,Shell,Bajada del Palo,Petroleo negro,2025-12,9030.0,1.292,6209.0,297.0
VM-006,Shell,Bajada del Palo,Petroleo negro,2026-01,7646.0,1.094,3769.0,251.5
VM-006,Shell,Bajada del Palo,Petroleo negro,2026-02,7663.0,1.097,4166.0,252.1
VM-006,Shell,Bajada del Palo,Petroleo negro,2026-03,7077.0,1.013,4513.0,232.8
VM-006,Shell,Bajada del Palo,Petroleo negro,2026-04,7140.0,1.022,5472.0,234.9
VM-006,Shell,Bajada del Palo,Petroleo negro,2026-05,6489.0,0.929,2924.0,213.4
VM-006,Shell,Bajada del Palo,Petroleo negro,2026-06,6698.0,0.959,4680.0,220.3
VM-006,Shell,Bajada del Palo,Petroleo negro,2026-07,6716.0,0.961,2077.0,220.9
VM-006,Shell,Bajada del Palo,Petroleo negro,2026-08,6104.0,0.873,3915.0,200.8
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2024-02,27654.0,8.354,9895.0,909.7
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2024-03,26859.0,8.114,18959.0,883.5
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2024-04,22726.0,6.865,12038.0,747.6
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2024-05,22713.0,6.862,7494.0,747.1
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2024-06,21076.0,6.367,15400.0,693.3
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2024-07,19248.0,5.815,11773.0,633.2
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2024-08,18005.0,5.439,9480.0,592.3
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2024-09,16772.0,5.067,5340.0,551.7
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2024-10,15862.0,4.792,9577.0,521.8
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2024-11,14931.0,4.511,9072.0,491.2
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2024-12,14194.0,4.288,9681.0,466.9
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2025-01,14082.0,4.254,3569.0,463.2
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2025-02,13593.0,4.106,5041.0,447.1
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2025-03,11850.0,3.58,3232.0,389.8
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2025-04,11820.0,3.571,6085.0,388.8
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2025-05,11410.0,3.447,3675.0,375.3
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2025-06,11715.0,3.539,4970.0,385.4
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2025-07,11492.0,3.472,3984.0,378.0
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2025-08,10859.0,3.281,4501.0,357.2
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2025-09,10761.0,3.251,6326.0,354.0
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2025-10,10209.0,3.084,2611.0,335.8
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2025-11,10021.0,3.027,4135.0,329.6
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2025-12,9734.0,2.941,6883.0,320.2
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2026-01,8686.0,2.624,1817.0,285.7
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2026-02,9260.0,2.798,7233.0,304.6
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2026-03,9206.0,2.781,4247.0,302.8
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2026-04,8907.0,2.691,1907.0,293.0
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2026-05,7798.0,2.356,4280.0,256.5
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2026-06,8156.0,2.464,5668.0,268.3
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2026-07,7650.0,2.311,3654.0,251.6
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,2026-08,8310.0,2.51,3172.0,273.3
VM-008,YPF,Loma Campana,Petroleo negro,2024-02,39441.0,5.644,22265.0,1297.4
VM-008,YPF,Loma Campana,Petroleo negro,2024-03,38795.0,5.552,12013.0,1276.1
VM-008,YPF,Loma Campana,Petroleo negro,2024-04,34191.0,4.893,15335.0,1124.7
VM-008,YPF,Loma Campana,Petroleo negro,2024-05,30412.0,4.352,10769.0,1000.4
VM-008,YPF,Loma Campana,Petroleo negro,2024-06,28632.0,4.097,15601.0,941.8
VM-008,YPF,Loma Campana,Petroleo negro,2024-07,26594.0,3.806,13388.0,874.8
VM-008,YPF,Loma Campana,Petroleo negro,2024-08,25954.0,3.714,18454.0,853.7
VM-008,YPF,Loma Campana,Petroleo negro,2024-09,24333.0,3.482,10452.0,800.4
VM-008,YPF,Loma Campana,Petroleo negro,2024-10,24423.0,3.495,7413.0,803.4
VM-008,YPF,Loma Campana,Petroleo negro,2024-11,20491.0,2.932,15266.0,674.0
VM-008,YPF,Loma Campana,Petroleo negro,2024-12,20248.0,2.898,5890.0,666.1
VM-008,YPF,Loma Campana,Petroleo negro,2025-01,19755.0,2.827,8015.0,649.8
VM-008,YPF,Loma Campana,Petroleo negro,2025-02,18906.0,2.705,13436.0,621.9
VM-008,YPF,Loma Campana,Petroleo negro,2025-03,18042.0,2.582,5044.0,593.5
VM-008,YPF,Loma Campana,Petroleo negro,2025-04,17221.0,2.464,13257.0,566.5
VM-008,YPF,Loma Campana,Petroleo negro,2025-05,17162.0,2.456,7147.0,564.5
VM-008,YPF,Loma Campana,Petroleo negro,2025-06,17431.0,2.494,13271.0,573.4
VM-008,YPF,Loma Campana,Petroleo negro,2025-07,16288.0,2.331,11218.0,535.8
VM-008,YPF,Loma Campana,Petroleo negro,2025-08,15265.0,2.184,6263.0,502.1
VM-008,YPF,Loma Campana,Petroleo negro,2025-09,15502.0,2.218,5299.0,509.9
VM-008,YPF,Loma Campana,Petroleo negro,2025-10,14450.0,2.068,4516.0,475.3
VM-008,YPF,Loma Campana,Petroleo negro,2025-11,14044.0,2.01,9881.0,462.0
VM-008,YPF,Loma Campana,Petroleo negro,2025-12,14743.0,2.11,3956.0,485.0
VM-008,YPF,Loma Campana,Petroleo negro,2026-01,13519.0,1.935,8562.0,444.7
VM-008,YPF,Loma Campana,Petroleo negro,2026-02,14162.0,2.027,7592.0,465.8
VM-008,YPF,Loma Campana,Petroleo negro,2026-03,13590.0,1.945,4654.0,447.1
VM-008,YPF,Loma Campana,Petroleo negro,2026-04,13387.0,1.916,9271.0,440.4
VM-008,YPF,Loma Campana,Petroleo negro,2026-05,12436.0,1.78,4247.0,409.1
VM-008,YPF,Loma Campana,Petroleo negro,2026-06,11528.0,1.65,6660.0,379.2
VM-008,YPF,Loma Campana,Petroleo negro,2026-07,12307.0,1.761,2470.0,404.8
VM-008,YPF,Loma Campana,Petroleo negro,2026-08,11876.0,1.699,9062.0,390.6
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2024-01,21041.0,6.356,5943.0,692.1
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2024-02,18519.0,5.595,8554.0,609.2
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2024-03,17345.0,5.24,12525.0,570.6
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2024-04,14998.0,4.531,4804.0,493.4
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2024-05,15519.0,4.688,3281.0,510.5
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2024-06,13053.0,3.943,5698.0,429.4
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2024-07,11691.0,3.532,4353.0,384.6
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2024-08,11936.0,3.606,6794.0,392.6
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2024-09,11239.0,3.395,6637.0,369.7
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2024-10,10629.0,3.211,2346.0,349.6
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2024-11,10138.0,3.063,5579.0,333.5
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2024-12,9071.0,2.74,4097.0,298.4
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2025-01,8682.0,2.623,6258.0,285.6
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2025-02,8358.0,2.525,2489.0,274.9
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2025-03,8616.0,2.603,5658.0,283.4
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2025-04,8343.0,2.52,5059.0,274.4
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2025-05,7567.0,2.286,3673.0,248.9
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2025-06,7443.0,2.248,4150.0,244.8
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2025-07,7580.0,2.29,2723.0,249.3
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2025-08,7163.0,2.164,1505.0,235.6
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2025-09,6398.0,1.933,4905.0,210.5
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2025-10,6261.0,1.891,3172.0,206.0
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2025-11,6667.0,2.014,3952.0,219.3
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2025-12,6114.0,1.847,3797.0,201.1
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2026-01,6357.0,1.921,4862.0,209.1
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2026-02,5544.0,1.675,1575.0,182.4
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2026-03,5488.0,1.658,1576.0,180.5
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2026-04,5722.0,1.729,4007.0,188.2
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2026-05,5116.0,1.545,1248.0,168.3
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2026-06,5133.0,1.551,3142.0,168.8
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2026-07,5339.0,1.613,2544.0,175.6
VM-009,Pampa Energia,El Trapial,Petroleo volatil,2026-08,5131.0,1.55,3851.0,168.8
VM-010,ExxonMobil,Los Toldos,Petroleo volatil,2026-06,43481.0,13.136,11767.0,1430.3
VM-010,ExxonMobil,Los Toldos,Petroleo volatil,2026-07,38041.0,11.492,25334.0,1251.3
VM-010,ExxonMobil,Los Toldos,Petroleo volatil,2026-08,35467.0,10.714,15991.0,1166.7
VM-011,Vista Energy,Aguada Federal,Gas y condensado,2026-01,6337.0,7.053,3069.0,208.5
VM-011,Vista Energy,Aguada Federal,Gas y condensado,2026-02,5740.0,6.389,2504.0,188.8
VM-011,Vista Energy,Aguada Federal,Gas y condensado,2026-03,5474.0,6.092,3236.0,180.1
VM-011,Vista Energy,Aguada Federal,Gas y condensado,2026-04,4913.0,5.468,2906.0,161.6
VM-011,Vista Energy,Aguada Federal,Gas y condensado,2026-05,4203.0,4.678,988.0,138.2
VM-011,Vista Energy,Aguada Federal,Gas y condensado,2026-06,4062.0,4.521,2883.0,133.6
VM-011,Vista Energy,Aguada Federal,Gas y condensado,2026-07,3950.0,4.396,2665.0,129.9
VM-011,Vista Energy,Aguada Federal,Gas y condensado,2026-08,3715.0,4.135,2492.0,122.2
VM-012,Pan American Energy,Loma Campana,Petroleo negro,2026-07,31081.0,4.448,19518.0,1022.4
VM-012,Pan American Energy,Loma Campana,Petroleo negro,2026-08,27557.0,3.943,21597.0,906.5
VM-013,Chevron,Bajada del Palo,Petroleo negro,2026-04,28847.0,4.128,19841.0,948.9
VM-013,Chevron,Bajada del Palo,Petroleo negro,2026-05,23736.0,3.397,5265.0,780.8
VM-013,Chevron,Bajada del Palo,Petroleo negro,2026-06,24455.0,3.499,8379.0,804.4
VM-013,Chevron,Bajada del Palo,Petroleo negro,2026-07,20756.0,2.97,5835.0,682.8
VM-013,Chevron,Bajada del Palo,Petroleo negro,2026-08,20251.0,2.898,4411.0,666.1
VM-014,Vista Energy,El Trapial,Petroleo volatil,2025-12,33447.0,10.104,12677.0,1100.2
VM-014,Vista Energy,El Trapial,Petroleo volatil,2026-01,30014.0,9.067,22403.0,987.3
VM-014,Vista Energy,El Trapial,Petroleo volatil,2026-02,27127.0,8.195,12336.0,892.4
VM-014,Vista Energy,El Trapial,Petroleo volatil,2026-03,24627.0,7.44,17563.0,810.1
VM-014,Vista Energy,El Trapial,Petroleo volatil,2026-04,22949.0,6.933,8063.0,754.9
VM-014,Vista Energy,El Trapial,Petroleo volatil,2026-05,19203.0,5.801,13977.0,631.7
VM-014,Vista Energy,El Trapial,Petroleo volatil,2026-06,19495.0,5.889,4642.0,641.3
VM-014,Vista Energy,El Trapial,Petroleo volatil,2026-07,18002.0,5.438,9963.0,592.2
VM-014,Vista Energy,El Trapial,Petroleo volatil,2026-08,16245.0,4.908,11885.0,534.4
VM-015,YPF,Loma Campana,Petroleo negro,2024-02,28443.0,4.07,8143.0,935.6
VM-015,YPF,Loma Campana,Petroleo negro,2024-03,25651.0,3.671,10338.0,843.8
VM-015,YPF,Loma Campana,Petroleo negro,2024-04,25122.0,3.595,14928.0,826.4
VM-015,YPF,Loma Campana,Petroleo negro,2024-05,20637.0,2.953,9002.0,678.8
VM-015,YPF,Loma Campana,Petroleo negro,2024-06,18968.0,2.714,11825.0,623.9
VM-015,YPF,Loma Campana,Petroleo negro,2024-07,19570.0,2.8,5012.0,643.7
VM-015,YPF,Loma Campana,Petroleo negro,2024-08,17407.0,2.491,6036.0,572.6
VM-015,YPF,Loma Campana,Petroleo negro,2024-09,15843.0,2.267,10267.0,521.1
VM-015,YPF,Loma Campana,Petroleo negro,2024-10,16423.0,2.35,6033.0,540.2
VM-015,YPF,Loma Campana,Petroleo negro,2024-11,14651.0,2.097,5658.0,481.9
VM-015,YPF,Loma Campana,Petroleo negro,2024-12,12977.0,1.857,7286.0,426.9
VM-015,YPF,Loma Campana,Petroleo negro,2025-01,12525.0,1.792,7673.0,412.0
VM-015,YPF,Loma Campana,Petroleo negro,2025-02,12996.0,1.86,3709.0,427.5
VM-015,YPF,Loma Campana,Petroleo negro,2025-03,12181.0,1.743,3959.0,400.7
VM-015,YPF,Loma Campana,Petroleo negro,2025-04,11948.0,1.71,4439.0,393.0
VM-015,YPF,Loma Campana,Petroleo negro,2025-05,11364.0,1.626,6691.0,373.8
VM-015,YPF,Loma Campana,Petroleo negro,2025-06,10766.0,1.541,3559.0,354.2
VM-015,YPF,Loma Campana,Petroleo negro,2025-07,10750.0,1.538,4439.0,353.6
VM-015,YPF,Loma Campana,Petroleo negro,2025-08,10290.0,1.472,4990.0,338.5
VM-015,YPF,Loma Campana,Petroleo negro,2025-09,9514.0,1.362,5969.0,313.0
VM-015,YPF,Loma Campana,Petroleo negro,2025-10,9070.0,1.298,5969.0,298.4
VM-015,YPF,Loma Campana,Petroleo negro,2025-11,8921.0,1.277,5748.0,293.4
VM-015,YPF,Loma Campana,Petroleo negro,2025-12,8963.0,1.283,6876.0,294.8
VM-015,YPF,Loma Campana,Petroleo negro,2026-01,8361.0,1.196,3423.0,275.0
VM-015,YPF,Loma Campana,Petroleo negro,2026-02,8803.0,1.26,4488.0,289.6
VM-015,YPF,Loma Campana,Petroleo negro,2026-03,7918.0,1.133,4913.0,260.5
VM-015,YPF,Loma Campana,Petroleo negro,2026-04,7527.0,1.077,5831.0,247.6
VM-015,YPF,Loma Campana,Petroleo negro,2026-05,7871.0,1.126,4639.0,258.9
VM-015,YPF,Loma Campana,Petroleo negro,2026-06,7197.0,1.03,4934.0,236.7
VM-015,YPF,Loma Campana,Petroleo negro,2026-07,7659.0,1.096,5168.0,251.9
VM-015,YPF,Loma Campana,Petroleo negro,2026-08,7472.0,1.069,1908.0,245.8
VM-016,Vista Energy,Bandurria Sur,Petroleo negro,2026-06,31678.0,4.533,22801.0,1042.0
VM-016,Vista Energy,Bandurria Sur,Petroleo negro,2026-07,26457.0,3.786,6564.0,870.3
VM-016,Vista Energy,Bandurria Sur,Petroleo negro,2026-08,23663.0,3.386,8176.0,778.4
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2024-04,29093.0,8.789,22153.0,957.0
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2024-05,28355.0,8.566,16465.0,932.7
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2024-06,24789.0,7.489,14945.0,815.4
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2024-07,21337.0,6.446,5820.0,701.9
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2024-08,18827.0,5.688,9482.0,619.3
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2024-09,17901.0,5.408,6819.0,588.9
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2024-10,15412.0,4.656,6248.0,507.0
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2024-11,14370.0,4.341,10898.0,472.7
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2024-12,13424.0,4.055,5859.0,441.6
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2025-01,13119.0,3.963,4610.0,431.6
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2025-02,12219.0,3.691,6496.0,401.9
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2025-03,10778.0,3.256,8282.0,354.5
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2025-04,10917.0,3.298,3140.0,359.1
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2025-05,10974.0,3.315,3303.0,361.0
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2025-06,10068.0,3.042,4928.0,331.2
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2025-07,8969.0,2.709,3837.0,295.0
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2025-08,8829.0,2.667,3731.0,290.4
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2025-09,8158.0,2.465,3668.0,268.4
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2025-10,8023.0,2.424,4915.0,263.9
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2025-11,7433.0,2.246,1689.0,244.5
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2025-12,7802.0,2.357,1885.0,256.6
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2026-01,7300.0,2.205,3865.0,240.1
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2026-02,7362.0,2.224,2311.0,242.2
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2026-03,7018.0,2.12,1952.0,230.8
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2026-04,6130.0,1.852,3631.0,201.7
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2026-05,5919.0,1.788,3267.0,194.7
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2026-06,6155.0,1.859,1694.0,202.5
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2026-07,6054.0,1.829,2748.0,199.2
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,2026-08,6008.0,1.815,1243.0,197.6
VM-018,Chevron,Los Toldos,Petroleo volatil,2026-04,24516.0,7.406,14025.0,806.4
VM-018,Chevron,Los Toldos,Petroleo volatil,2026-05,22414.0,6.771,9898.0,737.3
VM-018,Chevron,Los Toldos,Petroleo volatil,2026-06,22131.0,6.686,8992.0,728.0
VM-018,Chevron,Los Toldos,Petroleo volatil,2026-07,17882.0,5.402,5111.0,588.2
VM-018,Chevron,Los Toldos,Petroleo volatil,2026-08,17677.0,5.34,11753.0,581.5
VM-019,Vista Energy,Rincon La Ceniza,Petroleo volatil,2025-09,37891.0,11.447,18299.0,1246.4
