pozo_id,operador,area,ventana,rama_m,etapas,qi_bbl_d,b,Di,costo_musd,spud,completado,primera_prod
VM-046,Vista Energy,La Amarga Chica,Petroleo negro,2875,43,1105.0,1.54,0.1455,16.6,2025-11,2026-03,2026-04
VM-047,Pampa Energia,Loma Campana,Petroleo negro,2666,36,1265.0,0.78,0.1409,14.8,2025-09,2026-01,2026-02
VM-048,Vista Energy,Aguada Pichana,Gas y condensado,2841,41,417.0,0.98,0.1232,15.3,2026-04,2026-07,2026-08
VM-049,Pampa Energia,Bajada del Palo,Petroleo negro,2187,35,1015.0,0.9,0.1527,13.3,2024-09,2025-01,2025-02
VM-050,Pan American Energy,Los Toldos,Petroleo volatil,2308,32,913.0,1.42,0.1112,14.5,2024-12,2025-03,2025-04
VM-051,Vista Energy,Aguada Pichana,Gas y condensado,2661,45,319.0,0.75,0.1534,15.5,2025-05,2025-08,2025-09
VM-052,Shell,Bajada del Palo,Petroleo negro,2556,34,1052.0,1.64,0.1357,16.5,2026-04,2026-06,2026-07
VM-053,YPF,El Trapial,Petroleo volatil,1805,26,917.0,0.91,0.1381,12.5,2026-03,2026-06,2026-07
VM-054,YPF,El Trapial,Petroleo volatil,1656,22,659.0,1.36,0.1592,14.0,2023-12,2024-04,2024-05
VM-055,Total Austral,Fortin de Piedra,Gas y condensado,2429,41,209.0,1.17,0.1011,16.5,2024-02,2024-05,2024-06
VM-056,Vista Energy,Bandurria Sur,Petroleo negro,2016,29,1309.0,1.14,0.1321,12.6,2025-08,2025-11,2025-12
VM-057,Vista Energy,Aguada Pichana,Gas y condensado,2975,46,306.0,1.33,0.1499,14.5,2024-04,2024-08,2024-09
VM-058,YPF,Fortin de Piedra,Gas y condensado,1752,26,266.0,0.79,0.1131,14.4,2025-02,2025-04,2025-05
VM-059,YPF,Aguada Federal,Gas y condensado,2775,49,304.0,0.92,0.1173,17.7,2025-01,2025-05,2025-06
VM-060,Pampa Energia,Bajada del Palo,Petroleo negro,2718,37,1030.0,1.39,0.1269,14.2,2025-11,2026-02,2026-03
VM-061,Tecpetrol,Loma Campana,Petroleo negro,2145,42,1132.0,0.91,0.1402,16.2,2025-03,2025-06,2025-07
VM-062,Tecpetrol,Bajada del Palo,Petroleo negro,2441,33,1086.0,1.09,0.1192,15.1,2025-12,2026-04,2026-05
VM-063,ExxonMobil,Aguada Federal,Gas y condensado,2509,47,297.0,1.42,0.1412,14.9,2025-07,2025-09,2025-10
VM-064,YPF,Bajada del Palo,Petroleo negro,2345,38,1228.0,1.15,0.1528,14.1,2024-08,2024-11,2024-12
VM-065,YPF,El Trapial,Petroleo volatil,2873,50,1343.0,1.37,0.1506,14.6,2024-08,2024-10,2024-11
VM-066,Pampa Energia,Aguada Federal,Gas y condensado,2307,33,327.0,1.37,0.1451,15.8,2023-12,2024-02,2024-03
VM-067,Total Austral,Bajada del Palo,Petroleo negro,3328,55,1196.0,1.1,0.1021,15.4,2025-02,2025-04,2025-05
VM-068,Vista Energy,Bandurria Sur,Petroleo negro,1720,23,1087.0,0.87,0.1352,11.8,2024-02,2024-05,2024-06
VM-069,YPF,Rincon La Ceniza,Petroleo volatil,2729,44,730.0,1.42,0.1266,14.3,2025-09,2025-11,2025-12
VM-070,Vista Energy,La Amarga Chica,Petroleo negro,3022,44,1128.0,1.24,0.1364,17.8,2026-03,2026-05,2026-06
VM-071,YPF,La Amarga Chica,Petroleo negro,1610,29,682.0,1.22,0.1134,13.1,2023-11,2024-03,2024-04
VM-072,Pan American Energy,Bandurria Sur,Petroleo negro,2272,43,910.0,1.02,0.1289,16.1,2025-03,2025-06,2025-07
VM-073,Pluspetrol,Bandurria Sur,Petroleo negro,1816,29,834.0,0.86,0.105,12.8,2024-03,2024-06,2024-07
VM-074,Pluspetrol,Loma Campana,Petroleo negro,2725,37,890.0,1.42,0.1339,15.6,2025-10,2026-01,2026-02
VM-075,Total Austral,La Amarga Chica,Petroleo negro,2681,39,923.0,0.78,0.1183,14.9,2026-04,2026-06,2026-07
VM-076,YPF,Rincon La Ceniza,Petroleo volatil,3263,48,1329.0,1.05,0.125,15.6,2023-10,2023-12,2024-01
VM-077,Pan American Energy,La Amarga Chica,Petroleo negro,2857,50,1364.0,1.09,0.1322,14.9,2025-11,2026-02,2026-03
VM-078,Tecpetrol,El Trapial,Petroleo volatil,3404,57,1283.0,0.8,0.1245,16.0,2025-09,2025-12,2026-01
VM-079,Vista Energy,La Amarga Chica,Petroleo negro,3495,48,1883.0,1.35,0.1164,17.9,2025-12,2026-02,2026-03
VM-080,Vista Energy,Aguada Federal,Gas y condensado,3223,47,401.0,0.82,0.152,16.0,2025-05,2025-09,2025-10
VM-081,YPF,Rincon La Ceniza,Petroleo volatil,2651,46,1228.0,1.16,0.1508,14.1,2023-10,2024-02,2024-03
VM-082,Vista Energy,Aguada Pichana,Gas y condensado,1910,32,244.0,0.82,0.1348,14.1,2023-10,2023-12,2024-01
VM-083,Shell,Aguada Pichana,Gas y condensado,2220,30,283.0,1.2,0.1158,15.5,2025-10,2025-12,2026-01
VM-084,Chevron,Rincon La Ceniza,Petroleo volatil,3083,50,1333.0,1.7,0.1488,16.7,2025-11,2026-03,2026-04
VM-085,YPF,Bajada del Palo,Petroleo negro,2971,43,947.0,1.18,0.1461,15.0,2024-09,2024-12,2025-01
VM-086,Tecpetrol,Loma Campana,Petroleo negro,3241,61,1667.0,1.61,0.1339,16.8,2025-03,2025-07,2025-08
VM-087,Pan American Energy,Los Toldos,Petroleo volatil,2849,52,850.0,1.12,0.1348,16.6,2024-09,2024-11,2024-12
VM-088,ExxonMobil,Bandurria Sur,Petroleo negro,2695,51,1174.0,1.57,0.104,14.6,2023-11,2024-01,2024-02
VM-089,Shell,El Trapial,Petroleo volatil,2317,41,804.0,0.87,0.1045,14.7,2025-09,2025-12,2026-01
VM-090,Pan American Energy,La Amarga Chica,Petroleo negro,2811,40,1255.0,0.98,0.1031,16.9,2026-02,2026-06,2026-07
