evento_id,activo_id,tipo,ubicacion,fecha,mes,modo_falla,downtime_h,costo_usd,criticidad
FL-0020,EQ-005,Bomba de fractura,Bajada del Palo,2025-11-18,2025-11,Rodamiento,119.2,104547.0,Alta
FL-0021,EQ-005,Bomba de fractura,Bajada del Palo,2026-04-03,2026-04,Rodamiento,250.0,127936.0,Alta
FL-0022,EQ-006,Bomba de fractura,Aguada Pichana,2026-06-15,2026-06,Rodamiento,147.8,133971.0,Alta
FL-0023,EQ-006,Bomba de fractura,Aguada Pichana,2025-08-22,2025-08,Fuga hidraulica,41.3,61146.0,Alta
FL-0024,EQ-006,Bomba de fractura,Aguada Pichana,2025-05-23,2025-05,Rodamiento,55.0,50316.0,Alta
FL-0025,EQ-006,Bomba de fractura,Aguada Pichana,2026-07-08,2026-07,Fuga hidraulica,11.2,73075.0,Alta
FL-0026,EQ-007,Bomba de fractura,El Trapial,2025-04-02,2025-04,Vibracion excesiva,49.3,62298.0,Alta
FL-0027,EQ-007,Bomba de fractura,El Trapial,2026-04-16,2026-04,Falla electrica,36.0,48158.0,Alta
FL-0028,EQ-007,Bomba de fractura,El Trapial,2024-09-17,2024-09,Falla electrica,57.9,54458.0,Alta
FL-0029,EQ-007,Bomba de fractura,El Trapial,2025-01-27,2025-01,Falla electrica,28.0,57468.0,Alta
FL-0030,EQ-008,Bomba de fractura,Bajada del Palo,2025-06-22,2025-06,Fuga hidraulica,4.0,60680.0,Alta
FL-0031,EQ-008,Bomba de fractura,Bajada del Palo,2025-11-09,2025-11,Rodamiento,194.0,117046.0,Alta
FL-0032,EQ-008,Bomba de fractura,Bajada del Palo,2026-04-29,2026-04,Rodamiento,57.3,64052.0,Alta
FL-0033,EQ-008,Bomba de fractura,Bajada del Palo,2026-08-27,2026-08,Valvula,23.9,84289.0,Alta
FL-0034,EQ-008,Bomba de fractura,Bajada del Palo,2025-07-05,2025-07,Rodamiento,100.2,82526.0,Alta
FL-0035,EQ-008,Bomba de fractura,Bajada del Palo,2024-09-26,2024-09,Sello mecanico,63.5,74188.0,Alta
FL-0036,EQ-009,Bomba de fractura,Bajada del Palo,2026-07-26,2026-07,Rodamiento,78.7,70780.0,Alta
FL-0037,EQ-009,Bomba de fractura,Bajada del Palo,2025-06-16,2025-06,Lubricacion,20.3,75711.0,Alta
FL-0038,EQ-009,Bomba de fractura,Bajada del Palo,2025-02-15,2025-02,Falla electrica,22.2,35679.0,Alta
FL-0039,EQ-009,Bomba de fractura,Bajada del Palo,2026-03-20,2026-03,Rodamiento,142.2,107158.0,Alta
FL-0040,EQ-010,Bomba de fractura,Aguada Pichana,2024-11-15,2024-11,Lubricacion,11.8,31278.0,Alta
FL-0041,EQ-010,Bomba de fractura,Aguada Pichana,2026-02-19,2026-02,Sobrecalentamiento,68.6,62455.0,Alta
FL-0042,EQ-010,Bomba de fractura,Aguada Pichana,2025-12-21,2025-12,Fuga hidraulica,9.5,49763.0,Alta
FL-0043,EQ-010,Bomba de fractura,Aguada Pichana,2025-02-25,2025-02,Lubricacion,32.9,61176.0,Alta
FL-0044,EQ-010,Bomba de fractura,Aguada Pichana,2026-01-07,2026-01,Rodamiento,259.4,138307.0,Alta
FL-0045,EQ-011,Bomba de fractura,Fortin de Piedra,2025-09-26,2025-09,Rodamiento,396.4,214828.0,Alta
FL-0046,EQ-011,Bomba de fractura,Fortin de Piedra,2024-10-26,2024-10,Falla electrica,15.6,44110.0,Alta
FL-0047,EQ-011,Bomba de fractura,Fortin de Piedra,2026-03-24,2026-03,Fuga hidraulica,14.0,28404.0,Alta
FL-0048,EQ-011,Bomba de fractura,Fortin de Piedra,2025-03-25,2025-03,Rodamiento,168.9,121042.0,Alta
FL-0049,EQ-011,Bomba de fractura,Fortin de Piedra,2025-06-26,2025-06,Rodamiento,94.5,77409.0,Alta
FL-0050,EQ-011,Bomba de fractura,Fortin de Piedra,2025-05-13,2025-05,Sello mecanico,57.9,90635.0,Alta
FL-0051,EQ-011,Bomba de fractura,Fortin de Piedra,2026-05-11,2026-05,Lubricacion,8.8,67966.0,Alta
FL-0052,EQ-011,Bomba de fractura,Fortin de Piedra,2025-11-30,2025-11,Falla electrica,77.0,86615.0,Alta
FL-0053,EQ-011,Bomba de fractura,Fortin de Piedra,2025-04-10,2025-04,Sobrecalentamiento,108.3,89791.0,Alta
FL-0054,EQ-012,Bomba de fractura,Loma Campana,2026-01-16,2026-01,Rodamiento,35.1,45970.0,Alta
FL-0055,EQ-012,Bomba de fractura,Loma Campana,2025-08-28,2025-08,Rodamiento,230.1,114206.0,Alta
FL-0056,EQ-013,Bomba de fractura,Bajada del Palo,2025-06-30,2025-06,Vibracion excesiva,22.9,75153.0,Alta
FL-0057,EQ-013,Bomba de fractura,Bajada del Palo,2025-12-17,2025-12,Sello mecanico,55.5,79065.0,Alta
FL-0058,EQ-013,Bomba de fractura,Bajada del Palo,2025-04-23,2025-04,Valvula,84.8,81627.0,Alta
FL-0059,EQ-013,Bomba de fractura,Bajada del Palo,2026-03-08,2026-03,Sobrecalentamiento,70.1,67353.0,Alta
FL-0060,EQ-014,Bomba de fractura,Loma Campana,2026-05-08,2026-05,Lubricacion,33.8,71497.0,Alta
FL-0061,EQ-014,Bomba de fractura,Loma Campana,2026-06-05,2026-06,Sobrecalentamiento,76.0,66474.0,Alta
FL-0062,EQ-014,Bomba de fractura,Loma Campana,2025-03-17,2025-03,Sello mecanico,22.1,69370.0,Alta
FL-0063,EQ-014,Bomba de fractura,Loma Campana,2024-09-09,2024-09,Rodamiento,128.7,106825.0,Alta
FL-0064,EQ-014,Bomba de fractura,Loma Campana,2024-09-05,2024-09,Vibracion excesiva,160.2,126615.0,Alta
FL-0065,EQ-014,Bomba de fractura,Loma Campana,2025-11-26,2025-11,Sello mecanico,194.3,116799.0,Alta
FL-0066,EQ-015,Bomba de fractura,Fortin de Piedra,2025-09-10,2025-09,Sobrecalentamiento,119.5,86948.0,Alta
FL-0067,EQ-016,Bomba de fractura,Bajada del Palo,2025-08-21,2025-08,Falla electrica,47.4,84254.0,Alta
FL-0068,EQ-016,Bomba de fractura,Bajada del Palo,2025-08-01,2025-08,Falla electrica,77.4,90139.0,Alta
FL-0069,EQ-016,Bomba de fractura,Bajada del Palo,2025-05-19,2025-05,Rodamiento,13.3,27405.0,Alta
FL-0070,EQ-016,Bomba de fractura,Bajada del Palo,2025-03-05,2025-03,Falla electrica,9.5,31836.0,Alta
FL-0071,EQ-016,Bomba de fractura,Bajada del Palo,2024-11-03,2024-11,Fuga hidraulica,52.8,56741.0,Alta
FL-0072,EQ-017,Bomba de fractura,Bandurria Sur,2025-12-12,2025-12,Falla electrica,94.0,98711.0,Alta
FL-0073,EQ-017,Bomba de fractura,Bandurria Sur,2025-06-10,2025-06,Sello mecanico,28.8,47389.0,Alta
FL-0074,EQ-017,Bomba de fractura,Bandurria Sur,2026-02-10,2026-02,Sobrecalentamiento,83.6,67979.0,Alta
FL-0075,EQ-017,Bomba de fractura,Bandurria Sur,2025-01-19,2025-01,Rodamiento,128.4,74469.0,Alta
FL-0076,EQ-017,Bomba de fractura,Bandurria Sur,2025-03-13,2025-03,Sobrecalentamiento,35.0,88346.0,Alta
FL-0077,EQ-018,Bomba de fractura,Bajada del Palo,2026-06-09,2026-06,Lubricacion,9.4,45161.0,Alta
FL-0078,EQ-018,Bomba de fractura,Bajada del Palo,2026-06-20,2026-06,Sello mecanico,39.2,78160.0,Alta
FL-0079,EQ-018,Bomba de fractura,Bajada del Palo,2026-01-27,2026-01,Sello mecanico,201.3,139895.0,Alta
FL-0080,EQ-019,Bomba de fractura,Rincon La Ceniza,2026-01-06,2026-01,Rodamiento,84.8,67343.0,Alta
FL-0081,EQ-019,Bomba de fractura,Rincon La Ceniza,2025-09-13,2025-09,Sobrecalentamiento,63.0,92047.0,Alta
FL-0082,EQ-019,Bomba de fractura,Rincon La Ceniza,2024-10-05,2024-10,Sello mecanico,27.4,80102.0,Alta
FL-0083,EQ-020,Bomba de fractura,Aguada Pichana,2025-05-06,2025-05,Sobrecalentamiento,133.9,99846.0,Alta
FL-0084,EQ-020,Bomba de fractura,Aguada Pichana,2025-11-02,2025-11,Sobrecalentamiento,14.7,49033.0,Alta
FL-0085,EQ-020,Bomba de fractura,Aguada Pichana,2026-01-24,2026-01,Rodamiento,109.4,107502.0,Alta
FL-0086,EQ-020,Bomba de fractura,Aguada Pichana,2024-12-27,2024-12,Sello mecanico,35.0,52065.0,Alta
FL-0087,EQ-021,Bomba de fractura,Rincon La Ceniza,2026-05-16,2026-05,Falla electrica,68.7,71958.0,Alta
FL-0088,EQ-022,Bomba de fractura,Bajada del Palo,2025-09-02,2025-09,Rodamiento,129.3,87934.0,Alta
FL-0089,EQ-022,Bomba de fractura,Bajada del Palo,2025-03-18,2025-03,Sobrecalentamiento,167.8,136763.0,Alta
FL-0090,EQ-022,Bomba de fractura,Bajada del Palo,2026-07-16,2026-07,Sello mecanico,66.8,99317.0,Alta
FL-0091,EQ-022,Bomba de fractura,Bajada del Palo,2025-01-20,2025-01,Fuga hidraulica,10.7,49949.0,Alta
FL-0092,EQ-023,Bomba de fractura,Bajada del Palo,2026-06-22,2026-06,Sello mecanico,92.3,58668.0,Alta
FL-0093,EQ-024,Bomba de fractura,Bajada del Palo,2025-02-02,2025-02,Valvula,188.5,145572.0,Media
FL-0094,EQ-024,Bomba de fractura,Bajada del Palo,2026-05-12,2026-05,Lubricacion,7.9,71542.0,Media
FL-0095,EQ-024,Bomba de fractura,Bajada del Palo,2024-10-11,2024-10,Rodamiento,216.5,157788.0,Media
FL-0096,EQ-024,Bomba de fractura,Bajada del Palo,2025-12-30,2025-12,Rodamiento,49.9,59661.0,Media
FL-0097,EQ-024,Bomba de fractura,Bajada del Palo,2025-05-01,2025-05,Rodamiento,59.5,45167.0,Media
FL-0098,EQ-024,Bomba de fractura,Bajada del Palo,2026-08-24,2026-08,Rodamiento,173.6,141125.0,Media
FL-0099,EQ-024,Bomba de fractura,Bajada del Palo,2024-09-07,2024-09,Sello mecanico,141.5,115476.0,Media
FL-0100,EQ-025,Bomba de fractura,Aguada Pichana,2026-05-03,2026-05,Valvula,55.1,80890.0,Alta
FL-0101,EQ-025,Bomba de fractura,Aguada Pichana,2026-03-22,2026-03,Rodamiento,184.4,113404.0,Alta
FL-0102,EQ-025,Bomba de fractura,Aguada Pichana,2025-08-24,2025-08,Vibracion excesiva,38.4,80528.0,Alta
FL-0103,EQ-025,Bomba de fractura,Aguada Pichana,2024-10-04,2024-10,Falla electrica,26.0,84638.0,Alta
FL-0104,EQ-026,Bomba de fractura,Aguada Pichana,2024-11-23,2024-11,Sobrecalentamiento,30.9,34288.0,Alta
FL-0105,EQ-026,Bomba de fractura,Aguada Pichana,2026-03-10,2026-03,Rodamiento,50.2,89904.0,Alta
FL-0106,EQ-026,Bomba de fractura,Aguada Pichana,2026-07-20,2026-07,Falla electrica,32.8,79689.0,Alta
FL-0107,EQ-026,Bomba de fractura,Aguada Pichana,2026-02-10,2026-02,Fuga hidraulica,25.7,80232.0,Alta
FL-0108,EQ-026,Bomba de fractura,Aguada Pichana,2025-05-19,2025-05,Sobrecalentamiento,282.7,167170.0,Alta
FL-0109,EQ-027,Bomba de fractura,Bajada del Palo,2025-02-03,2025-02,Vibracion excesiva,85.7,78920.0,Alta
FL-0110,EQ-027,Bomba de fractura,Bajada del Palo,2026-07-22,2026-07,Falla electrica,33.4,37072.0,Alta
FL-0111,EQ-027,Bomba de fractura,Bajada del Palo,2026-07-12,2026-07,Falla electrica,69.8,91790.0,Alta
FL-0112,EQ-027,Bomba de fractura,Bajada del Palo,2026-04-24,2026-04,Valvula,18.3,46556.0,Alta
FL-0113,EQ-029,Bomba de fractura,Fortin de Piedra,2025-08-02,2025-08,Sobrecalentamiento,148.8,100195.0,Alta
FL-0114,EQ-029,Bomba de fractura,Fortin de Piedra,2026-03-13,2026-03,Fuga hidraulica,73.1,73318.0,Alta
FL-0115,EQ-030,Bomba de fractura,Bajada del Palo,2025-03-16,2025-03,Sobrecalentamiento,18.1,72771.0,Alta
FL-0116,EQ-030,Bomba de fractura,Bajada del Palo,2026-08-04,2026-08,Vibracion excesiva,70.4,77967.0,Alta
FL-0117,EQ-030,Bomba de fractura,Bajada del Palo,2024-10-14,2024-10,Valvula,40.0,58197.0,Alta
FL-0118,EQ-030,Bomba de fractura,Bajada del Palo,2026-02-25,2026-02,Vibracion excesiva,36.6,80800.0,Alta
FL-0119,EQ-030,Bomba de fractura,Bajada del Palo,2025-02-19,2025-02,Valvula,76.9,77073.0,Alta
FL-0120,EQ-031,Bomba de fractura,Rincon La Ceniza,2026-02-21,2026-02,Rodamiento,31.1,48184.0,Baja
FL-0121,EQ-031,Bomba de fractura,Rincon La Ceniza,2026-07-22,2026-07,Rodamiento,67.7,83783.0,Baja
FL-0122,EQ-031,Bomba de fractura,Rincon La Ceniza,2026-04-24,2026-04,Valvula,47.8,80830.0,Baja
FL-0123,EQ-031,Bomba de fractura,Rincon La Ceniza,2026-01-19,2026-01,Sobrecalentamiento,61.9,71924.0,Baja
FL-0124,EQ-032,Bomba de fractura,Loma Campana,2025-12-08,2025-12,Fuga hidraulica,20.9,56500.0,Alta
FL-0125,EQ-032,Bomba de fractura,Loma Campana,2024-09-13,2024-09,Fuga hidraulica,122.6,84224.0,Alta
FL-0126,EQ-033,Bomba de fractura,Rincon La Ceniza,2024-12-16,2024-12,Sobrecalentamiento,229.6,133622.0,Alta
FL-0127,EQ-033,Bomba de fractura,Rincon La Ceniza,2026-03-02,2026-03,Sobrecalentamiento,29.6,86089.0,Alta
FL-0128,EQ-033,Bomba de fractura,Rincon La Ceniza,2024-10-17,2024-10,Valvula,47.2,64147.0,Alta
FL-0129,EQ-033,Bomba de fractura,Rincon La Ceniza,2025-07-03,2025-07,Rodamiento,146.5,112294.0,Alta
FL-0130,EQ-033,Bomba de fractura,Rincon La Ceniza,2026-04-07,2026-04,Sobrecalentamiento,55.3,88495.0,Alta
FL-0131,EQ-033,Bomba de fractura,Rincon La Ceniza,2026-04-02,2026-04,Rodamiento,163.1,137866.0,Alta
FL-0132,EQ-034,Bomba de fractura,Aguada Pichana,2024-09-14,2024-09,Vibracion excesiva,127.5,92927.0,Alta
FL-0133,EQ-035,Bomba de fractura,Bajada del Palo,2025-10-16,2025-10,Sobrecalentamiento,42.1,68633.0,Alta
FL-0134,EQ-035,Bomba de fractura,Bajada del Palo,2025-02-17,2025-02,Vibracion excesiva,19.6,47203.0,Alta
FL-0135,EQ-035,Bomba de fractura,Bajada del Palo,2025-01-03,2025-01,Rodamiento,58.9,88086.0,Alta
FL-0136,EQ-036,Bomba de fractura,Loma Campana,2024-11-07,2024-11,Falla electrica,65.0,66465.0,Media
FL-0137,EQ-036,Bomba de fractura,Loma Campana,2026-03-11,2026-03,Sello mecanico,19.3,70507.0,Media
FL-0138,EQ-036,Bomba de fractura,Loma Campana,2024-10-26,2024-10,Sello mecanico,63.7,63568.0,Media
FL-0139,EQ-036,Bomba de fractura,Loma Campana,2025-12-04,2025-12,Rodamiento,49.9,84083.0,Media
FL-0140,EQ-036,Bomba de fractura,Loma Campana,2025-09-08,2025-09,Sello mecanico,28.5,62930.0,Media
FL-0141,EQ-036,Bomba de fractura,Loma Campana,2025-07-14,2025-07,Rodamiento,53.8,89020.0,Media
FL-0142,EQ-036,Bomba de fractura,Loma Campana,2025-05-21,2025-05,Sello mecanico,96.4,60598.0,Media
FL-0143,EQ-037,Bomba de fractura,Rincon La Ceniza,2025-04-06,2025-04,Sobrecalentamiento,217.7,112831.0,Alta
FL-0144,EQ-037,Bomba de fractura,Rincon La Ceniza,2025-02-01,2025-02,Sello mecanico,51.5,77738.0,Alta
FL-0145,EQ-037,Bomba de fractura,Rincon La Ceniza,2025-07-04,2025-07,Vibracion excesiva,196.3,105850.0,Alta
FL-0146,EQ-037,Bomba de fractura,Rincon La Ceniza,2026-02-18,2026-02,Rodamiento,60.4,50947.0,Alta
FL-0147,EQ-038,Bomba de fractura,Loma Campana,2025-04-28,2025-04,Lubricacion,52.0,86837.0,Baja
FL-0148,EQ-038,Bomba de fractura,Loma Campana,2026-06-26,2026-06,Falla electrica,65.2,94959.0,Baja
FL-0149,EQ-038,Bomba de fractura,Loma Campana,2026-05-19,2026-05,Sobrecalentamiento,63.0,88706.0,Baja
FL-0150,EQ-038,Bomba de fractura,Loma Campana,2024-11-18,2024-11,Sello mecanico,147.5,86893.0,Baja
FL-0151,EQ-038,Bomba de fractura,Loma Campana,2025-07-11,2025-07,Falla electrica,16.7,80966.0,Baja
FL-0152,EQ-038,Bomba de fractura,Loma Campana,2025-09-19,2025-09,Vibracion excesiva,86.2,62096.0,Baja
FL-0153,EQ-038,Bomba de fractura,Loma Campana,2025-09-23,2025-09,Falla electrica,14.2,58130.0,Baja
FL-0154,EQ-038,Bomba de fractura,Loma Campana,2026-05-15,2026-05,Vibracion excesiva,31.4,60680.0,Baja
FL-0155,EQ-039,Bomba de fractura,Bandurria Sur,2026-05-29,2026-05,Sello mecanico,37.9,75299.0,Alta
FL-0156,EQ-039,Bomba de fractura,Bandurria Sur,2024-09-19,2024-09,Falla electrica,79.9,78364.0,Alta
FL-0157,EQ-040,Bomba de fractura,Bajada del Palo,2024-12-20,2024-12,Vibracion excesiva,127.3,86035.0,Alta
FL-0158,EQ-040,Bomba de fractura,Bajada del Palo,2024-12-19,2024-12,Falla electrica,66.7,61862.0,Alta
FL-0159,EQ-040,Bomba de fractura,Bajada del Palo,2025-01-08,2025-01,Sobrecalentamiento,31.3,72744.0,Alta
FL-0160,EQ-041,Bomba de fractura,Rincon La Ceniza,2026-03-04,2026-03,Vibracion excesiva,162.6,140017.0,Alta
FL-0161,EQ-041,Bomba de fractura,Rincon La Ceniza,2025-03-08,2025-03,Sello mecanico,14.0,68246.0,Alta
FL-0162,EQ-041,Bomba de fractura,Rincon La Ceniza,2026-04-08,2026-04,Sello mecanico,125.5,125526.0,Alta
FL-0163,EQ-041,Bomba de fractura,Rincon La Ceniza,2026-07-09,2026-07,Sobrecalentamiento,152.8,86919.0,Alta
FL-0164,EQ-041,Bomba de fractura,Rincon La Ceniza,2026-03-04,2026-03,Vibracion excesiva,70.2,69008.0,Alta
FL-0165,EQ-041,Bomba de fractura,Rincon La Ceniza,2024-09-26,2024-09,Rodamiento,269.6,137303.0,Alta
FL-0166,EQ-041,Bomba de fractura,Rincon La Ceniza,2026-07-17,2026-07,Valvula,82.4,99847.0,Alta
FL-0167,EQ-042,Bomba de fractura,Bandurria Sur,2025-03-23,2025-03,Valvula,77.2,66923.0,Alta
FL-0168,EQ-042,Bomba de fractura,Bandurria Sur,2026-05-25,2026-05,Sello mecanico,83.2,69555.0,Alta
FL-0169,EQ-043,Bomba de fractura,Fortin de Piedra,2026-06-16,2026-06,Vibracion excesiva,63.3,95814.0,Alta
FL-0170,EQ-043,Bomba de fractura,Fortin de Piedra,2025-08-19,2025-08,Lubricacion,45.9,81083.0,Alta
FL-0171,EQ-043,Bomba de fractura,Fortin de Piedra,2025-07-03,2025-07,Sello mecanico,22.6,77938.0,Alta
FL-0172,EQ-043,Bomba de fractura,Fortin de Piedra,2025-07-27,2025-07,Sobrecalentamiento,21.4,83411.0,Alta
FL-0173,EQ-044,Bomba de fractura,Bajada del Palo,2025-07-25,2025-07,Sobrecalentamiento,21.4,45769.0,Alta
FL-0174,EQ-044,Bomba de fractura,Bajada del Palo,2026-01-22,2026-01,Sello mecanico,62.2,46322.0,Alta
FL-0175,EQ-045,Bomba de fractura,Rincon La Ceniza,2025-06-08,2025-06,Valvula,22.1,44843.0,Alta
FL-0176,EQ-045,Bomba de fractura,Rincon La Ceniza,2026-08-10,2026-08,Lubricacion,15.1,42799.0,Alta
FL-0177,EQ-045,Bomba de fractura,Rincon La Ceniza,2024-10-24,2024-10,Sello mecanico,77.5,62362.0,Alta
FL-0178,EQ-045,Bomba de fractura,Rincon La Ceniza,2026-08-19,2026-08,Fuga hidraulica,60.7,55744.0,Alta
FL-0179,EQ-045,Bomba de fractura,Rincon La Ceniza,2025-11-15,2025-11,Sello mecanico,149.6,118345.0,Alta
FL-0180,EQ-045,Bomba de fractura,Rincon La Ceniza,2026-05-14,2026-05,Falla electrica,13.2,62579.0,Alta
FL-0181,EQ-045,Bomba de fractura,Rincon La Ceniza,2025-05-23,2025-05,Falla electrica,29.3,37303.0,Alta
FL-0182,EQ-045,Bomba de fractura,Rincon La Ceniza,2026-02-26,2026-02,Fuga hidraulica,5.2,23587.0,Alta
FL-0183,EQ-046,Bomba de fractura,Rincon La Ceniza,2025-02-14,2025-02,Fuga hidraulica,19.1,81212.0,Alta
FL-0184,EQ-046,Bomba de fractura,Rincon La Ceniza,2024-11-12,2024-11,Falla electrica,116.0,88147.0,Alta
FL-0185,EQ-046,Bomba de fractura,Rincon La Ceniza,2026-08-11,2026-08,Rodamiento,267.1,167948.0,Alta
FL-0186,EQ-046,Bomba de fractura,Rincon La Ceniza,2026-07-20,2026-07,Rodamiento,54.7,45382.0,Alta
FL-0187,EQ-046,Bomba de fractura,Rincon La Ceniza,2025-03-09,2025-03,Sello mecanico,27.1,59049.0,Alta
FL-0188,EQ-046,Bomba de fractura,Rincon La Ceniza,2025-02-11,2025-02,Rodamiento,218.2,135989.0,Alta
FL-0189,EQ-047,Bomba de fractura,Bandurria Sur,2026-02-08,2026-02,Sello mecanico,115.8,89944.0,Alta
FL-0190,EQ-047,Bomba de fractura,Bandurria Sur,2025-01-03,2025-01,Sello mecanico,52.2,51396.0,Alta
FL-0191,EQ-047,Bomba de fractura,Bandurria Sur,2025-09-07,2025-09,Lubricacion,42.3,66944.0,Alta
FL-0192,EQ-047,Bomba de fractura,Bandurria Sur,2026-08-19,2026-08,Rodamiento,115.2,100758.0,Alta
FL-0193,EQ-047,Bomba de fractura,Bandurria Sur,2025-11-21,2025-11,Sello mecanico,21.7,67750.0,Alta
FL-0194,EQ-048,Bomba de fractura,Bandurria Sur,2024-10-19,2024-10,Rodamiento,65.7,48645.0,Alta
FL-0195,EQ-048,Bomba de fractura,Bandurria Sur,2025-07-24,2025-07,Fuga hidraulica,5.3,75944.0,Alta
FL-0196,EQ-048,Bomba de fractura,Bandurria Sur,2025-01-11,2025-01,Fuga hidraulica,25.2,45770.0,Alta
FL-0197,EQ-048,Bomba de fractura,Bandurria Sur,2026-08-27,2026-08,Fuga hidraulica,15.8,47851.0,Alta
FL-0198,EQ-048,Bomba de fractura,Bandurria Sur,2026-08-18,2026-08,Falla electrica,38.6,37516.0,Alta
FL-0199,EQ-048,Bomba de fractura,Bandurria Sur,2024-12-05,2024-12,Valvula,60.4,85995.0,Alta
FL-0200,EQ-048,Bomba de fractura,Bandurria Sur,2025-04-04,2025-04,Sello mecanico,48.0,94051.0,Alta
FL-0201,EQ-048,Bomba de fractura,Bandurria Sur,2025-03-28,2025-03,Fuga hidraulica,25.0,47148.0,Alta
FL-0202,EQ-048,Bomba de fractura,Bandurria Sur,2025-07-21,2025-07,Falla electrica,41.1,62661.0,Alta
FL-0203,EQ-049,Bomba de inyeccion,Loma Campana,2026-06-11,2026-06,Falla electrica,12.7,19627.0,Media
FL-0204,EQ-050,Bomba de inyeccion,Bajada del Palo,2026-03-14,2026-03,Lubricacion,16.4,34001.0,Media
FL-0205,EQ-050,Bomba de inyeccion,Bajada del Palo,2025-02-18,2025-02,Sobrecalentamiento,119.6,77213.0,Media
FL-0206,EQ-050,Bomba de inyeccion,Bajada del Palo,2026-05-15,2026-05,Valvula,14.7,23805.0,Media
FL-0207,EQ-050,Bomba de inyeccion,Bajada del Palo,2024-10-28,2024-10,Vibracion excesiva,30.1,27280.0,Media
FL-0208,EQ-052,Bomba de inyeccion,Loma Campana,2025-07-24,2025-07,Sobrecalentamiento,61.1,43015.0,Media
FL-0209,EQ-052,Bomba de inyeccion,Loma Campana,2026-05-03,2026-05,Vibracion excesiva,104.5,53629.0,Media
FL-0210,EQ-052,Bomba de inyeccion,Loma Campana,2025-10-17,2025-10,Fuga hidraulica,13.9,18303.0,Media
FL-0211,EQ-053,Bomba de inyeccion,El Trapial,2025-10-13,2025-10,Sobrecalentamiento,41.6,44541.0,Media
FL-0212,EQ-053,Bomba de inyeccion,El Trapial,2026-05-15,2026-05,Sobrecalentamiento,53.6,48209.0,Media
FL-0213,EQ-053,Bomba de inyeccion,El Trapial,2025-07-18,2025-07,Sello mecanico,31.8,32932.0,Media
FL-0214,EQ-053,Bomba de inyeccion,El Trapial,2026-06-13,2026-06,Rodamiento,129.0,68504.0,Media
FL-0215,EQ-053,Bomba de inyeccion,El Trapial,2026-01-23,2026-01,Sello mecanico,142.2,84754.0,Media
FL-0216,EQ-053,Bomba de inyeccion,El Trapial,2025-09-10,2025-09,Falla electrica,52.6,50631.0,Media
FL-0217,EQ-053,Bomba de inyeccion,El Trapial,2026-05-03,2026-05,Falla electrica,78.5,54576.0,Media
FL-0218,EQ-054,Bomba de inyeccion,Fortin de Piedra,2026-07-16,2026-07,Rodamiento,205.7,92010.0,Media
FL-0219,EQ-054,Bomba de inyeccion,Fortin de Piedra,2025-09-06,2025-09,Rodamiento,117.5,70378.0,Media
